ESS_Meter.CommStatus.St,ShirleySouth-ESSPlant-ESS1,HealthStatus,CommsStatusMeter,,
ESS.CommStatus.St,ShirleySouth-ESSPlant-ESS1,HealthStatus,CommsStatus,,
inv1_meter.CommStatus.St,ShirleySouth-PVPlant-Inverter1,HealthStatus,CommsStatusMeter,,
inv1.CommStatus.St,ShirleySouth-PVPlant-Inverter1,HealthStatus,CommsStatus,,
pcc_meter.CommStatus.St,ShirleySouth,HealthStatus,CommsStatusMeter,,
recloser.CommStatus.St,ShirleySouth,HealthStatus,CommsStatusRecloser,,
weatherStation.CommStatus.St,ShirleySouth,HealthStatus,CommsStatusWeather,,
radio_north.CommStatus.St,ShirleySouth,HealthStatus,CommsStatusRadio,,
ess_meter.meter.A,ShirleySouth-ESSPlant-ESS1,OpStatus,AC_A_meter,,A
ess_meter.meter.PPV,ShirleySouth-ESSPlant-ESS1,OpStatus,AC_V_meter,,kV
ess_meter.meter.Hz,ShirleySouth-ESSPlant-ESS1,OpStatus,Freq,,Hz
ess_meter.meter.W,ShirleySouth-ESSPlant-ESS1,OpStatus,Pwr_kW,,kW
ess_meter.meter.VA,ShirleySouth-ESSPlant-ESS1,OpStatus,VA,,kVA
ess_meter.meter.VAR,ShirleySouth-ESSPlant-ESS1,OpStatus,Var,,kVAr
ess_meter.meter.PF,ShirleySouth-ESSPlant-ESS1,OpStatus,PF,,pu
ess_meter.meter.TotWhExp,ShirleySouth-ESSPlant-ESS1,OpStatus,WhExp,,kWh
ess_meter.meter.TotWhImp,ShirleySouth-ESSPlant-ESS1,OpStatus,WhImp,,kWh
ess_meter.meter.TotVAhImp,ShirleySouth-ESSPlant-ESS1,OpStatus,VAImp,,kVAh
ess_meter.meter.Evt,ShirleySouth-ESSPlant-ESS1,HealthStatus,MeterEvt,,
pcc_meter.meter.A,ShirleySouth,OpStatus,AC_A_meter,,A
pcc_meter.meter.PPV,ShirleySouth,OpStatus,AC_V_meter,,kV
pcc_meter.meter.Hz,ShirleySouth,OpStatus,Freq,,Hz
pcc_meter.meter.W,ShirleySouth,OpStatus,Pwr_kW,,kW
pcc_meter.meter.VA,ShirleySouth,OpStatus,VA,,kVA
pcc_meter.meter.VAR,ShirleySouth,OpStatus,Var,,kVAr
pcc_meter.meter.PF,ShirleySouth,OpStatus,PF,,pu
pcc_meter.meter.TotWhExp,ShirleySouth,OpStatus,WhExp,,kWh
pcc_meter.meter.TotWhImp,ShirleySouth,OpStatus,WhImp,,kWh
pcc_meter.meter.TotVAhImp,ShirleySouth,OpStatus,VAImp,,kVAh
pcc_meter.meter.Evt,ShirleySouth,HealthStatus,MeterEvt,,
weatherStation.irradiance.GHI,ShirleySouth,EnvStatus,GHI,,
weatherStation.irradiance.POAI,ShirleySouth,EnvStatus,POAI,,
weatherStation.temp.TmpBOM,ShirleySouth,EnvStatus,Tmp_BOM1,,
weatherStation.temp.TmpBOM,ShirleySouth,EnvStatus,Tmp_BOM2,,
gps.gps.Lat,ShirleySouth,EnvStatus,GPS_Lat,,
gps.gps.Long,ShirleySouth,EnvStatus,GPS_Lon,,
weatherStation.base_met.TmpAmb,ShirleySouth,EnvStatus,TmpAmb,,
weatherStation.base_met.WndSpd,ShirleySouth,EnvStatus,WndSpd,,
weatherStation.base_met.WndDir,ShirleySouth,EnvStatus,WndDir,,
pmc.mode_control.SysModCtrl,ShirleySouth,ModeControl,SysModeCtrl,,
pmc.mode_control.SysModSt,ShirleySouth,ModeStatus,SysModeStatus,,
pmc.mode_control.GSModCtrl,ShirleySouth,ModeControl,GSModeCtrl,,
pmc.mode_control.GSModSt,ShirleySouth,ModeStatus,GSModeStatus,,
pmc.monitor.GSHeartBeat,ShirleySouth,ModeStatus,GSHeartbeat,,
pmc.monitor.PMCWatchDog,ShirleySouth,ModeControl,PMCWatchDog,,
pmc.monitor.WatchDogTimeoutEnable,ShirleySouth,ModeControl,WatchDogTimeoutEnable,,
pmc.monitor.PMCSysModeReason,ShirleySouth,ModeStatus,SysModeReason,,
inv1.cfg.Inverter Power Level,ShirleySouth-PVPlant-Inverter1,Config,Nameplate,,
inv1.alarms.Critical_Alarms,ShirleySouth-PVPlant-Inverter1,HealthStatus,Alarms,,
inv1.alarms.Informative_Alarms_1,ShirleySouth-PVPlant-Inverter1,HealthStatus,Warnings1,,
inv1.alarms.Informative_Alarms_2,ShirleySouth-PVPlant-Inverter1,HealthStatus,Warnings2,,
inv1.alarms.UL_Recovery_Time_Left,ShirleySouth-PVPlant-Inverter1,ModeStatus,UL_recovery_time,,
inv1.solectria_meter.DC_Voltage,ShirleySouth-PVPlant-Inverter1,OpStatus,V_DC_internal,,V
inv1.solectria_meter.AC_Grid_Frequency,ShirleySouth-PVPlant-Inverter1,OpStatus,Freq,,Hz
